session_id,user_id,started_at,ended_at,duration_seconds,device_type,entry_page,campaign
sess_68,user_911,2025-01-07T19:42:40,2025-01-07T20:03:53,1273,mobile,tag/blog/tags,google
sess_69,user_539,2024-04-29T07:24:08,2024-04-29T07:49:05,1497,mobile,main/category,organic
sess_70,user_859,2025-02-10T00:43:15,2025-02-10T00:49:52,397,desktop,search/main/categories,organic
sess_71,user_961,2025-07-12T07:48:14,2025-07-12T07:59:24,670,mobile,categories/search/main,organic
sess_72,user_547,2025-09-06T21:25:09,2025-09-06T23:11:54,6405,mobile,tags,email
sess_73,user_110,2025-03-04T19:08:32,2025-03-04T19:20:43,731,desktop,explore/categories,
sess_74,user_965,2025-02-12T19:43:10,2025-02-12T20:49:56,4006,desktop,app,organic
sess_75,user_186,2024-05-12T14:39:58,2024-05-12T16:37:26,7048,mobile,tags/main,email
sess_76,user_161,2025-03-06T20:32:36,2025-03-06T23:18:57,9981,mobile,explore/main/explore,fb_ads
sess_77,user_46,2025-04-24T09:36:04,2025-04-24T10:57:56,4912,mobile,tag,email
sess_78,user_741,2024-09-17T23:14:26,2024-09-17T23:25:47,681,mobile,main,fb_ads
sess_79,user_315,2024-04-11T21:32:35,2024-04-11T22:27:14,3279,mobile,posts/categories,organic
sess_80,user_297,2024-11-12T22:35:58,2024-11-13T00:07:12,5474,desktop,category/posts/posts,
sess_81,user_976,2024-10-30T05:21:02,2024-10-30T06:35:30,4468,desktop,list,google
sess_82,user_163,2024-07-23T21:29:29,2024-07-23T21:46:51,1042,mobile,posts/main/tags,fb_ads
sess_83,user_884,2024-08-02T20:06:38,2024-08-02T21:38:28,5510,mobile,posts,email
sess_84,user_614,2025-05-08T01:33:39,2025-05-08T02:33:06,3567,mobile,wp-content/list/blog,google
sess_85,user_688,2024-03-24T21:49:29,2024-03-25T00:35:39,9970,mobile,tags/tag/main,
sess_86,user_213,2024-03-08T19:38:22,2024-03-08T22:13:56,9334,mobile,list,fb_ads
sess_87,user_92,2024-12-29T04:06:43,2024-12-29T05:05:52,3549,desktop,posts/categories,fb_ads
sess_88,user_854,2024-12-27T06:52:54,2024-12-27T08:21:28,5314,mobile,category/app/wp-content,
sess_89,user_882,2024-08-08T22:19:56,2024-08-08T22:52:01,1925,mobile,list,email
sess_90,user_173,2024-06-12T20:17:39,2024-06-12T20:19:03,84,mobile,blog/list/app,
sess_91,user_463,2024-11-17T10:42:33,2024-11-17T12:49:43,7630,mobile,tags/posts,
sess_92,user_652,2024-08-16T11:11:47,2024-08-16T12:59:09,6442,mobile,posts/posts,organic
sess_93,user_726,2025-09-26T17:32:10,2025-09-26T18:02:22,1812,mobile,tags,fb_ads
sess_94,user_585,2025-04-14T19:07:15,2025-04-14T20:00:45,3210,mobile,tags/category/list,organic
sess_95,user_362,2025-03-18T23:20:58,2025-03-19T01:14:10,6792,mobile,category/categories,
sess_96,user_572,2024-05-29T10:53:33,2024-05-29T11:14:58,1285,mobile,explore/categories/explore,fb_ads
sess_97,user_903,2024-07-28T06:05:34,2024-07-28T06:35:26,1792,mobile,category/category/tag,
sess_98,user_449,2024-12-30T08:07:31,2024-12-30T08:32:10,1479,mobile,category,google
sess_99,user_35,2025-05-27T20:59:28,2025-05-27T22:56:15,7007,mobile,tag/main,organic
sess_100,user_328,2025-03-27T11:47:15,2025-03-27T12:02:11,896,tablet,search,google
sess_101,user_188,2024-11-04T00:00:09,2024-11-04T01:16:14,4565,mobile,category/tag,google
sess_102,user_760,2025-08-06T09:55:39,2025-08-06T12:30:01,9262,mobile,explore/explore,fb_ads
sess_103,user_442,2025-08-06T12:47:20,2025-08-06T13:06:58,1178,mobile,category/tag/wp-content,google
sess_104,user_58,2024-06-15T20:30:50,2024-06-15T22:08:22,5852,mobile,wp-content/main/tag,fb_ads
sess_105,user_917,2024-08-27T11:45:16,2024-08-27T12:43:36,3500,mobile,list/categories,fb_ads
sess_106,user_166,2024-12-16T01:53:59,2024-12-16T04:17:25,8606,mobile,tag/app,organic
sess_107,user_183,2025-05-20T14:03:44,2025-05-20T15:09:13,3929,desktop,tags/category,organic
sess_108,user_389,2025-06-16T21:15:00,2025-06-16T22:51:45,5805,mobile,list/search,google
sess_109,user_316,2025-03-27T16:12:53,2025-03-27T18:53:06,9613,mobile,explore,organic
sess_110,user_691,2025-08-04T05:39:24,2025-08-04T08:37:38,10694,mobile,search/app/tags,
sess_111,user_350,2024-08-04T04:48:06,2024-08-04T07:17:54,8988,mobile,posts/explore,google
sess_112,user_325,2025-09-11T19:11:01,2025-09-11T20:54:15,6194,mobile,category/main,
sess_113,user_622,2024-10-14T09:58:07,2024-10-14T10:27:55,1788,tablet,wp-content/wp-content,email
sess_114,user_497,2025-05-27T12:00:04,2025-05-27T13:27:57,5273,mobile,list/blog,
sess_115,user_469,2024-03-16T11:51:08,2024-03-16T12:50:58,3590,mobile,blog/posts/list,email
sess_116,user_856,2025-02-03T20:23:31,2025-02-03T22:11:15,6464,desktop,tags/search/search,email
sess_117,user_425,2025-03-30T01:45:37,2025-03-30T01:47:27,110,mobile,blog/blog/posts,
sess_118,user_235,2024-09-28T04:59:49,2024-09-28T06:59:09,7160,desktop,main/main/search,organic
sess_119,user_946,2024-03-30T13:52:54,2024-03-30T15:00:00,4026,mobile,main,fb_ads
sess_120,user_721,2024-06-29T22:34:11,2024-06-29T22:43:54,583,tablet,main,google
sess_121,user_125,2025-08-03T15:46:46,2025-08-03T16:20:03,1997,mobile,blog,
sess_122,user_462,2024-01-16T06:49:49,2024-01-16T09:05:15,8126,mobile,main/list,
sess_123,user_979,2024-10-29T01:57:46,2024-10-29T03:39:52,6126,mobile,blog/tags,
sess_124,user_247,2024-10-08T05:37:54,2024-10-08T08:26:22,10108,mobile,category/category,organic
sess_125,user_183,2025-03-08T03:33:16,2025-03-08T04:57:52,5076,mobile,explore/search/list,
sess_126,user_739,2025-04-09T19:37:24,2025-04-09T20:05:45,1701,mobile,search/blog,google
sess_127,user_402,2025-02-26T16:11:01,2025-02-26T16:44:23,2002,mobile,category/app/categories,email
sess_128,user_122,2024-02-09T00:31:53,2024-02-09T01:38:30,3997,mobile,posts,fb_ads
sess_129,user_265,2025-07-15T08:57:40,2025-07-15T11:25:51,8891,desktop,search,email
sess_130,user_306,2024-06-25T14:35:35,2024-06-25T15:13:06,2251,mobile,wp-content/categories/list,email
sess_131,user_932,2024-04-09T14:18:41,2024-04-09T17:08:19,10178,mobile,search,google
sess_132,user_355,2025-07-28T23:53:57,2025-07-29T02:44:07,10210,mobile,categories/search,
sess_133,user_737,2025-02-04T09:15:57,2025-02-04T11:06:36,6639,desktop,main/posts/search,google
sess_134,user_674,2025-01-23T09:55:47,2025-01-23T10:34:10,2303,desktop,tags/explore,google
sess_135,user_717,2024-08-21T13:31:46,2024-08-21T14:31:14,3568,desktop,explore/tags,email
sess_136,user_366,2024-02-21T22:01:48,2024-02-22T00:09:06,7638,mobile,categories/categories,email
sess_137,user_703,2024-07-08T07:48:29,2024-07-08T09:21:11,5562,mobile,categories,organic
sess_138,user_9,2025-04-10T13:36:20,2025-04-10T15:23:01,6401,mobile,category/posts/wp-content,organic
sess_139,user_378,2025-01-08T20:49:46,2025-01-08T23:31:15,9689,desktop,explore/blog,
sess_140,user_242,2025-02-03T09:15:27,2025-02-03T10:56:56,6089,mobile,tag,
sess_141,user_670,2024-01-17T04:13:18,2024-01-17T07:07:45,10467,desktop,list/main/category,google
sess_142,user_743,2024-04-02T12:36:43,2024-04-02T13:46:52,4209,mobile,app/tag/posts,fb_ads
sess_143,user_271,2024-05-21T09:52:10,2024-05-21T10:17:30,1520,mobile,list/tags/tag,organic
sess_144,user_877,2024-05-04T17:26:08,2024-05-04T20:01:41,9333,mobile,explore/explore/explore,email
sess_145,user_192,2025-02-18T21:16:21,2025-02-18T23:20:31,7450,mobile,explore/main/category,
sess_146,user_368,2024-06-23T00:57:19,2024-06-23T02:12:02,4483,mobile,explore/tags/list,google
sess_147,user_657,2025-06-24T20:10:49,2025-06-24T20:36:01,1512,mobile,app/main/posts,
sess_148,user_398,2025-08-14T00:36:36,2025-08-14T01:26:19,2983,mobile,explore,fb_ads
sess_149,user_671,2025-09-29T02:01:15,2025-09-29T04:11:05,7790,mobile,explore,
sess_150,user_425,2024-10-29T02:50:53,2024-10-29T04:51:51,7258,mobile,blog,google
sess_151,user_909,2025-03-03T15:27:58,2025-03-03T16:49:31,4893,mobile,posts,
sess_152,user_273,2024-01-14T13:48:24,2024-01-14T15:34:54,6390,mobile,search/category,google
sess_153,user_374,2025-07-16T01:12:03,2025-07-16T02:46:39,5676,mobile,categories/tag,fb_ads
sess_154,user_570,2024-01-27T16:48:50,2024-01-27T18:58:07,7757,mobile,categories,google
sess_155,user_58,2025-04-22T23:21:04,2025-04-23T00:13:42,3158,desktop,categories/blog/list,fb_ads
sess_156,user_899,2024-02-17T04:41:24,2024-02-17T07:04:16,8572,desktop,categories/main/list,email
sess_157,user_163,2025-08-02T11:41:13,2025-08-02T13:43:49,7356,mobile,wp-content/list/categories,organic
sess_158,user_167,2024-03-04T08:16:32,2024-03-04T11:02:43,9971,mobile,category,fb_ads
sess_159,user_308,2024-11-10T13:43:25,2024-11-10T15:56:16,7971,tablet,search,google
sess_160,user_929,2025-01-05T17:18:31,2025-01-05T17:30:32,721,desktop,categories/list/blog,fb_ads
sess_161,user_794,2024-04-13T22:36:00,2024-04-13T23:52:34,4594,mobile,posts/explore,organic
sess_162,user_23,2024-05-12T13:01:57,2024-05-12T13:46:13,2656,mobile,category/posts,
sess_163,user_997,2025-09-08T19:12:13,2025-09-08T21:06:31,6858,mobile,category/tag,google
sess_164,user_169,2024-10-11T10:26:14,2024-10-11T11:13:32,2838,mobile,search,google
sess_165,user_613,2024-06-29T00:59:11,2024-06-29T02:10:33,4282,mobile,explore,
sess_166,user_414,2024-07-28T16:01:29,2024-07-28T16:29:01,1652,mobile,categories,fb_ads
sess_167,user_884,2024-08-07T23:39:32,2024-08-08T02:04:48,8716,mobile,main/explore/search,google
sess_168,user_745,2024-10-30T02:22:41,2024-10-30T02:23:58,77,mobile,tags/tags/list,fb_ads
sess_169,user_902,2025-01-17T08:03:56,2025-01-17T10:47:51,9835,mobile,main,
sess_170,user_204,2025-09-04T10:49:06,2025-09-04T11:16:17,1631,mobile,tags/main,fb_ads
sess_171,user_871,2024-03-24T08:23:00,2024-03-24T09:22:03,3543,mobile,list/tag/tags,fb_ads
sess_172,user_608,2025-04-17T13:35:51,2025-04-17T14:24:26,2915,mobile,app,
sess_173,user_993,2025-04-03T09:34:40,2025-04-03T10:23:56,2956,mobile,tag,google
sess_174,user_395,2025-01-18T06:36:16,2025-01-18T09:09:24,9188,mobile,app,organic
sess_175,user_569,2025-01-08T08:55:49,2025-01-08T09:53:57,3488,desktop,tag/categories/blog,organic
sess_176,user_255,2024-09-12T09:30:31,2024-09-12T11:36:12,7541,mobile,posts/category,organic
sess_177,user_284,2024-07-22T07:18:28,2024-07-22T08:02:01,2613,mobile,list/blog/list,google
sess_178,user_203,2025-02-11T12:15:35,2025-02-11T13:37:38,4923,desktop,blog,organic
sess_179,user_24,2024-03-05T09:20:15,2024-03-05T09:56:43,2188,mobile,categories,fb_ads
sess_180,user_739,2024-10-13T05:19:56,2024-10-13T07:35:51,8155,tablet,categories/categories,organic
sess_181,user_411,2024-01-25T11:40:12,2024-01-25T14:13:25,9193,tablet,categories/search,organic
sess_182,user_633,2024-06-19T04:36:48,2024-06-19T06:40:26,7418,tablet,app/explore/list,
sess_183,user_671,2024-07-04T12:54:49,2024-07-04T15:12:06,8237,mobile,posts,fb_ads
sess_184,user_311,2024-01-02T22:55:46,2024-01-03T00:56:08,7222,mobile,wp-content/categories/category,organic
sess_185,user_691,2025-06-15T12:56:46,2025-06-15T13:58:50,3724,desktop,main/tag,
sess_186,user_939,2024-12-03T05:16:52,2024-12-03T07:26:42,7790,mobile,blog/posts/tags,google
sess_187,user_533,2024-10-29T03:19:04,2024-10-29T04:39:09,4805,mobile,app/explore/posts,email
sess_188,user_93,2024-03-10T19:23:47,2024-03-10T21:56:07,9140,mobile,app,
sess_189,user_907,2024-01-21T22:02:24,2024-01-22T00:50:12,10068,mobile,main/posts/main,email
sess_190,user_361,2024-07-08T11:34:56,2024-07-08T13:10:34,5738,mobile,search,google
sess_191,user_424,2024-02-19T12:30:36,2024-02-19T13:09:00,2304,tablet,main/tag/wp-content,
sess_192,user_864,2025-07-24T03:28:06,2025-07-24T04:10:03,2517,mobile,categories/posts,organic
sess_193,user_202,2025-08-12T01:54:20,2025-08-12T04:38:25,9845,tablet,app/category,
sess_194,user_942,2024-02-21T20:33:45,2024-02-21T23:07:21,9216,tablet,blog,fb_ads
sess_195,user_35,2025-03-22T07:43:43,2025-03-22T09:29:53,6370,mobile,explore/posts/search,organic
sess_196,user_487,2024-08-25T08:52:51,2024-08-25T11:50:25,10654,desktop,search,
sess_197,user_674,2025-08-12T14:47:34,2025-08-12T15:18:08,1834,mobile,categories/list/list,fb_ads
sess_198,user_400,2024-12-09T03:10:37,2024-12-09T05:22:39,7922,mobile,list,
sess_199,user_149,2025-02-26T05:22:59,2025-02-26T05:46:54,1435,mobile,main,
sess_200,user_581,2024-04-23T17:25:49,2024-04-23T18:44:29,4720,mobile,app/wp-content/blog,email
sess_201,user_82,2025-08-25T00:23:01,2025-08-25T01:06:43,2622,mobile,blog/wp-content/categories,fb_ads
sess_202,user_801,2025-02-01T15:22:30,2025-02-01T15:51:03,1713,mobile,categories/wp-content/category,google
sess_203,user_91,2024-05-19T02:49:30,2024-05-19T04:06:49,4639,mobile,category/explore/search,organic
sess_204,user_57,2024-06-08T07:47:07,2024-06-08T07:56:20,553,mobile,tags/tag/search,email
sess_205,user_501,2024-10-21T20:54:47,2024-10-21T22:31:26,5799,mobile,search,email
sess_206,user_149,2025-07-24T17:10:59,2025-07-24T18:34:47,5028,mobile,search,email
sess_207,user_700,2024-06-11T14:51:56,2024-06-11T16:58:55,7619,mobile,main,fb_ads
sess_208,user_113,2024-06-13T10:04:20,2024-06-13T11:25:17,4857,tablet,main,organic
sess_209,user_746,2024-03-25T23:48:06,2024-03-26T00:56:21,4095,desktop,tags/wp-content/categories,email
sess_210,user_462,2025-06-09T09:44:27,2025-06-09T10:17:09,1962,mobile,category,fb_ads
sess_211,user_770,2025-05-16T22:42:54,2025-05-17T00:16:07,5593,mobile,app,fb_ads
sess_212,user_362,2025-02-16T18:31:41,2025-02-16T19:46:27,4486,mobile,posts/list,fb_ads
sess_213,user_44,2024-04-04T09:01:44,2024-04-04T09:51:40,2996,mobile,tags/explore,email
sess_214,user_780,2024-02-02T11:50:48,2024-02-02T13:50:04,7156,desktop,posts/main,email
sess_215,user_254,2024-06-19T23:07:33,2024-06-20T01:11:26,7433,mobile,blog,email
sess_216,user_47,2024-04-05T15:07:11,2024-04-05T15:50:56,2625,desktop,list/explore,organic
sess_217,user_622,2024-03-14T04:12:59,2024-03-14T06:42:46,8987,mobile,app/tags/wp-content,google
sess_218,user_767,2025-09-29T05:52:09,2025-09-29T08:13:43,8494,desktop,search,fb_ads
sess_219,user_279,2024-10-14T12:34:54,2024-10-14T14:23:22,6508,desktop,tags/main,organic
sess_220,user_888,2024-03-25T04:05:15,2024-03-25T06:30:34,8719,mobile,app/categories,fb_ads
sess_221,user_226,2024-05-31T12:53:54,2024-05-31T15:21:37,8863,desktop,categories/tags/explore,organic
sess_222,user_475,2024-07-25T05:27:12,2024-07-25T07:54:44,8852,mobile,blog,
sess_223,user_65,2024-01-19T20:30:13,2024-01-19T23:29:15,10742,mobile,list/category,
sess_224,user_424,2025-04-22T04:00:54,2025-04-22T05:02:33,3699,desktop,app,
sess_225,user_262,2024-05-31T22:10:23,2024-05-31T23:19:11,4128,mobile,posts,fb_ads
sess_226,user_718,2024-01-20T15:13:47,2024-01-20T15:19:16,329,mobile,list/categories/search,organic
sess_227,user_118,2024-11-19T17:16:12,2024-11-19T18:38:56,4964,mobile,explore/list,fb_ads
sess_228,user_781,2024-09-17T15:42:40,2024-09-17T17:09:46,5226,mobile,blog/main/list,email
sess_229,user_840,2025-04-20T20:15:44,2025-04-20T22:55:07,9563,mobile,app/app,fb_ads
sess_230,user_40,2024-10-15T19:25:01,2024-10-15T21:00:33,5732,mobile,search,organic
sess_231,user_6,2025-09-27T01:37:09,2025-09-27T02:10:50,2021,mobile,blog/list,fb_ads
sess_232,user_693,2024-04-29T04:47:18,2024-04-29T05:53:17,3959,mobile,search/explore/tags,fb_ads
sess_233,user_721,2024-02-04T03:40:49,2024-02-04T06:32:09,10280,desktop,posts/main,email
sess_234,user_337,2025-05-23T03:04:27,2025-05-23T03:43:03,2316,mobile,explore,email
sess_235,user_33,2024-04-04T21:40:07,2024-04-04T23:01:43,4896,mobile,categories,email
sess_236,user_575,2025-07-08T21:39:27,2025-07-08T22:11:26,1919,mobile,main,google
sess_237,user_975,2025-03-11T23:45:28,2025-03-12T02:44:33,10745,mobile,tags/category/blog,google
sess_238,user_885,2025-06-25T11:57:14,2025-06-25T13:14:55,4661,mobile,search/list/posts,google
sess_239,user_998,2025-08-10T21:46:42,2025-08-10T23:15:54,5352,mobile,tags,email
sess_240,user_301,2024-04-02T18:47:24,2024-04-02T20:39:35,6731,mobile,posts/category,fb_ads
sess_241,user_408,2025-09-03T11:45:05,2025-09-03T12:22:45,2260,desktop,main/posts,fb_ads
sess_242,user_806,2025-09-02T22:53:16,2025-09-03T01:29:43,9387,desktop,explore,organic
sess_243,user_231,2024-07-20T22:54:55,2024-07-21T01:08:20,8005,mobile,main,
sess_244,user_214,2025-06-12T04:39:38,2025-06-12T05:11:03,1885,mobile,posts/blog,organic
sess_245,user_320,2024-06-06T12:36:47,2024-06-06T12:49:23,756,mobile,categories,google
sess_246,user_212,2024-02-16T07:48:35,2024-02-16T08:34:51,2776,desktop,list/explore,organic
sess_247,user_536,2025-05-08T12:32:30,2025-05-08T14:36:03,7413,mobile,app,email
sess_248,user_805,2024-04-06T18:19:40,2024-04-06T18:51:46,1926,desktop,wp-content/blog,email
sess_249,user_701,2024-12-29T00:51:39,2024-12-29T02:57:15,7536,mobile,main,google
sess_250,user_373,2025-03-10T15:35:30,2025-03-10T15:53:25,1075,mobile,explore,email
sess_251,user_449,2025-05-21T22:49:26,2025-05-22T00:57:25,7679,mobile,tag,
sess_252,user_373,2025-03-20T19:11:58,2025-03-20T20:03:13,3075,mobile,wp-content/category/blog,organic
sess_253,user_280,2025-05-23T09:27:34,2025-05-23T10:24:16,3402,mobile,categories/explore,google
sess_254,user_19,2024-05-28T15:01:21,2024-05-28T16:37:03,5742,desktop,posts,
sess_255,user_648,2025-01-19T14:17:01,2025-01-19T16:37:29,8428,desktop,posts/posts/blog,fb_ads
sess_256,user_994,2025-01-13T02:20:04,2025-01-13T04:05:29,6325,mobile,category,organic
sess_257,user_641,2024-11-20T09:41:08,2024-11-20T12:32:18,10270,desktop,app/explore,fb_ads
sess_258,user_726,2024-08-22T06:14:24,2024-08-22T08:52:14,9470,mobile,categories/category/app,google
sess_259,user_967,2024-07-07T19:33:05,2024-07-07T20:59:35,5190,mobile,categories/app,fb_ads
sess_260,user_348,2025-05-15T05:29:02,2025-05-15T07:46:32,8250,mobile,app/category,organic
sess_261,user_306,2024-04-28T08:48:07,2024-04-28T09:18:34,1827,mobile,category,organic
sess_262,user_184,2024-06-20T14:58:54,2024-06-20T17:36:29,9455,mobile,app/category/search,fb_ads
sess_263,user_520,2025-05-25T14:54:36,2025-05-25T15:16:34,1318,mobile,tag/categories/main,google
sess_264,user_298,2024-05-18T03:16:00,2024-05-18T03:42:19,1579,mobile,app/posts,organic
sess_265,user_545,2024-11-02T20:08:35,2024-11-02T22:12:17,7422,mobile,categories/category/tags,google
sess_266,user_274,2024-12-12T20:09:13,2024-12-12T22:56:49,10056,mobile,search/main,organic
sess_267,user_620,2024-07-18T22:10:25,2024-07-18T23:40:07,5382,mobile,explore/tags,organic
sess_268,user_356,2025-05-03T12:39:13,2025-05-03T15:13:45,9272,mobile,wp-content,email
sess_269,user_424,2024-10-12T23:00:26,2024-10-13T01:48:06,10060,mobile,tags/app,fb_ads
sess_270,user_331,2024-05-22T11:18:26,2024-05-22T12:38:11,4785,mobile,explore/wp-content,fb_ads
sess_271,user_272,2024-07-23T09:50:54,2024-07-23T10:36:49,2755,mobile,posts,fb_ads
sess_272,user_308,2024-07-27T12:11:23,2024-07-27T14:52:10,9647,desktop,main,fb_ads
sess_273,user_681,2024-11-03T12:14:57,2024-11-03T13:04:34,2977,tablet,explore/tag/explore,organic
sess_274,user_594,2024-05-31T09:54:37,2024-05-31T10:08:18,821,mobile,list,
sess_275,user_835,2025-01-14T08:39:35,2025-01-14T11:31:35,10320,desktop,tags/wp-content/categories,
sess_276,user_566,2025-03-19T21:10:56,2025-03-19T22:05:52,3296,mobile,tags,google
sess_277,user_761,2024-11-22T12:19:05,2024-11-22T14:13:56,6891,mobile,posts/main/tags,google
